Team,Ballpark,2010,2011,2012,2013,2014,2015,2016,Total
LAA,Angel Stadium,3250814,3166321,2177617,3019505,3095935,3012765,3016142,20739099.0
SF,AT&T Park,3037443,3387303,3377371,3369106,3368697,3375882,3365256,23281058.0
STL,Busch Stadium,3301218,3093954,3262109,3369769,3540649,3520889,3444490,23533078.0
BAL,Camden Yards,1733018,1755461,2102240,2357561,2464473,2320590,2172344,14905687.0
ARZ,Chase Field,2056519,2105432,2177617,2134795,2073730,2080145,2036216,14664454.0
NYM,Citi Field,2559738,2378549,2219444,2135657,2148808,2569753,2789608,16801557.0
PHI,Citizens Bank Park,3647249,3680718,3565718,3012403,2423852,1831080,1915144,20076164.0
DET,Comerica Park,2461237,2642045,3028033,3083397,2917209,2726048,2493859,19351828.0
COL,Coors Field,2875245,2909777,2630458,2793828,2680329,2506789,2602524,18998950.0
LAD,Dodger Stadium,3562320,2935139,3324246,3743527,3782337,3764815,3703312,24815696.0
BOS,Fenway Park,3046445,3054001,3043003,2833333,2956089,2880694,2955434,20768999.0
CIN,Great American Ballpark,2060551,2213498,2347251,2492059,2476664,2419506,1894085,15903614.0
KC,Kauffman Stadium,1615327,1724450,1739859,1750754,1956482,2708549,2557712,14053133.0
MIA,Marlins Park,,,2219444,1586322,1732283,1752235,1712417,9002701.0
MIL,Miller Park,2776531,3071373,2831385,2531105,2797384,2542558,2131614,18681950.0
HOU,Minute Maid Park,2331490,2067016,1607733,1651883,1751829,2153585,2306623,13870159.0
WAS,Nationals Park,1828066,1940478,2370794,2652422,2579389,2619843,2481938,16472930.0
OAK,Oakland Coliseum,1418391,1476792,1679013,1809302,2003628,1768175,1521506,11676807.0
SD,Petco Park,2131774,2143018,2123721,2166691,2195373,2459752,2351426,15571755.0
PIT,PNC Park,1613399,1940429,2091918,2256862,2442564,2498596,2249021,15092789.0
CLE,Progressive Field,1391644,1840835,1603599,1572926,1437393,1388905,1591667,10826969.0
TEX,Globe Life Park,2505171,2946949,3460280,3178273,2718733,2491875,2710402,20011683.0
TOR,Rogers Centre,1625555,1818103,2099663,2536562,2375525,2794891,3392299,16642598.0
SEA,Safeco Field,2195284,1896321,1721920,1761546,2064334,2193581,2267928,14100914.0
MIA,Sun Life Stadium,1524894,1520562,,,,,,3045456.0
MIN,Target Field,3223640,3168107,2776354,2477644,2250606,2220054,1963912,18080317.0
TB,Tropicana Field,1864999,1529188,1559681,1510300,1446464,1247668,1286163,10444463.0
ATL,Turner Field,2510119,2372940,2420171,2548679,2354305,2001392,2020914,16228520.0
CHW,US Cellular Field,2194378,2001117,1965955,1768413,1650821,1755810,1746293,13082787.0
CHC,Wrigley Field,3062973,3017966,2882756,2642682,2652113,2959812,3232420,20450722.0
NYY,Yankee Stadium,3765807,3653680,3542406,3279589,3401624,3193795,3063405,23900306.0
,Total Attendance,73171239,73451522,73951759,74026895,73739622,73760032,72976074,515077143.0
,Highest Attendance,NY Yankees,Philadelphia,Philadelphia,LA Dodgers,LA Dodgers,LA Dodgers,LA Dodgers,
,Lowest Attendance,Cleveland,Oakland,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,
